STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00500464,AUKE BAY AK US,20160101,-9999,-9999,0.15,3,0,41,35,40
GHCND:USC00500464,AUKE BAY AK US,20160102,-9999,-9999,0.55,0,0,44,33,36
GHCND:USC00500464,AUKE BAY AK US,20160103,-9999,-9999,0.29,0,0,37,31,32
GHCND:USC00500464,AUKE BAY AK US,20160104,-9999,-9999,0,0,0,33,27,27
GHCND:USC00500464,AUKE BAY AK US,20160105,-9999,-9999,0,0,0,31,23,24
GHCND:USC00500464,AUKE BAY AK US,20160106,-9999,-9999,0,0,0,28,23,26
GHCND:USC00500464,AUKE BAY AK US,20160107,-9999,-9999,0,0,0,30,22,23
GHCND:USC00500464,AUKE BAY AK US,20160108,-9999,-9999,0,0,0,30,22,22
GHCND:USC00500464,AUKE BAY AK US,20160109,-9999,-9999,0.3,0,0.2,35,22,34
GHCND:USC00500464,AUKE BAY AK US,20160110,-9999,-9999,0.04,0,0,36,33,34
GHCND:USC00500464,AUKE BAY AK US,20160111,-9999,-9999,0.17,0,0,35,33,34
GHCND:USC00500464,AUKE BAY AK US,20160112,-9999,-9999,0.38,0,0,41,34,38
GHCND:USC00500464,AUKE BAY AK US,20160113,-9999,-9999,0.12,0,0,38,34,35
GHCND:USC00500464,AUKE BAY AK US,20160114,-9999,-9999,0.76,0,0,37,34,35
GHCND:USC00500464,AUKE BAY AK US,20160115,-9999,-9999,0.36,0,0,38,32,33
GHCND:USC00500464,AUKE BAY AK US,20160116,-9999,-9999,0.02,0,0,36,30,32
GHCND:USC00500464,AUKE BAY AK US,20160117,-9999,-9999,0,0,0,33,30,31
GHCND:USC00500464,AUKE BAY AK US,20160118,-9999,-9999,0.05,0,0,39,31,36
GHCND:USC00500464,AUKE BAY AK US,20160119,-9999,-9999,0.05,0,0,39,31,33
GHCND:USC00500464,AUKE BAY AK US,20160120,-9999,-9999,0.07,0,0,37,32,34
GHCND:USC00500464,AUKE BAY AK US,20160121,-9999,-9999,0,0,0,37,34,35
GHCND:USC00500464,AUKE BAY AK US,20160122,-9999,-9999,0.19,0,0,40,34,40
GHCND:USC00500464,AUKE BAY AK US,20160123,-9999,-9999,0.12,0,0,41,37,38
GHCND:USC00500464,AUKE BAY AK US,20160124,-9999,-9999,0.18,0,0,40,36,37
GHCND:USC00500464,AUKE BAY AK US,20160125,-9999,-9999,0.31,0,0,40,36,39
GHCND:USC00500464,AUKE BAY AK US,20160126,-9999,-9999,1.22,0,0,44,39,42
GHCND:USC00500464,AUKE BAY AK US,20160127,-9999,-9999,0.1,0,0,46,40,43
GHCND:USC00500464,AUKE BAY AK US,20160128,-9999,-9999,0.24,0,0,46,42,42
GHCND:USC00500464,AUKE BAY AK US,20160129,-9999,-9999,0.04,0,0,42,40,40
GHCND:USC00500464,AUKE BAY AK US,20160130,-9999,-9999,0.02,0,0,41,32,36
GHCND:USC00500464,AUKE BAY AK US,20160131,-9999,-9999,0,0,0,38,28,31
GHCND:USC00500464,AUKE BAY AK US,20160201,-9999,-9999,0,0,0,38,27,31
GHCND:USC00500464,AUKE BAY AK US,20160202,-9999,-9999,0,0,0,37,31,34
GHCND:USC00500464,AUKE BAY AK US,20160203,-9999,-9999,0.12,0,0,35,32,32
GHCND:USC00500464,AUKE BAY AK US,20160204,-9999,-9999,0.08,0,0,40,32,39
GHCND:USC00500464,AUKE BAY AK US,20160205,-9999,-9999,0.33,0,0,41,32,34
GHCND:USC00500464,AUKE BAY AK US,20160206,-9999,-9999,0.44,0,0,39,32,35
GHCND:USC00500464,AUKE BAY AK US,20160207,-9999,-9999,0.06,0,0.3,37,31,32
GHCND:USC00500464,AUKE BAY AK US,20160208,-9999,-9999,0.03,0,0,40,32,36
GHCND:USC00500464,AUKE BAY AK US,20160209,-9999,-9999,0.09,0,0,40,34,38
GHCND:USC00500464,AUKE BAY AK US,20160210,-9999,-9999,0.2,0,0,41,36,37
