Data from: http://www.usclimatedata.com/climate/sitka/alaska/united-states/usak0224,"accessed March 30, 2017",,,,,
day month,High,Low,Precip month (inch),precip year (inch_,Snow month (inch),Snow year (inch)
1 jan,40.4,32.5,0.28,0.28,0.2,0.2
2 jan,40.4,32.4,0.51,0.51,0.39,0.39
3 jan,40.4,32.4,0.79,0.79,0.71,0.71
4 jan,40.4,32.4,1.06,1.06,0.91,0.91
5 jan,40.3,32.4,1.34,1.34,1.18,1.18
6 jan,40.3,32.4,1.61,1.61,1.42,1.42
7 jan,40.3,32.4,1.93,1.93,1.61,1.61
8 jan,40.3,32.3,2.17,2.17,1.89,1.89
9 jan,40.3,32.3,2.44,2.44,2.2,2.2
10 jan,40.3,32.3,2.72,2.72,2.52,2.52
11 jan,40.3,32.3,2.95,2.95,2.8,2.8
12 jan,40.3,32.3,3.23,3.23,3.19,3.19
13 jan,40.4,32.3,3.5,3.5,3.5,3.5
14 jan,40.4,32.3,3.78,3.78,3.9,3.9
15 jan,40.4,32.3,4.06,4.06,4.21,4.21
16 jan,40.4,32.3,4.33,4.33,4.61,4.61
17 jan,40.4,32.3,4.61,4.61,4.88,4.88
18 jan,40.5,32.3,4.88,4.88,5.2,5.2
19 jan,40.5,32.3,5.2,5.2,5.59,5.59
20 jan,40.5,32.3,5.47,5.47,5.91,5.91
21 jan,40.5,32.3,5.75,5.75,6.3,6.3
22 jan,40.6,32.3,5.98,5.98,6.61,6.61
23 jan,40.6,32.2,6.26,6.26,7.01,7.01
24 jan,40.6,32.2,6.54,6.54,7.28,7.28
25 jan,40.7,32.2,6.81,6.81,7.6,7.6
26 jan,40.7,32.2,7.09,7.09,7.99,7.99
27 jan,40.8,32.2,7.36,7.36,8.31,8.31
28 jan,40.8,32.2,7.6,7.6,8.58,8.58
29 jan,40.8,32.2,7.87,7.87,8.9,8.9
30 jan,40.9,32.2,8.15,8.15,9.21,9.21
31 jan,40.9,32.2,8.39,8.39,9.49,9.49
1 feb,40.9,32.2,0.24,8.62,0.31,9.8
2 feb,41,32.2,0.47,8.86,0.51,10
3 feb,41,32.2,0.75,9.09,0.79,10.31
4 feb,41,32.2,0.94,9.33,1.1,10.59
5 feb,41.1,32.2,1.18,9.57,1.42,10.91
6 feb,41.1,32.2,1.42,9.8,1.69,11.18
7 feb,41.1,32.2,1.65,10.04,2.01,11.5
8 feb,41.2,32.2,1.93,10.28,2.28,11.81
9 feb,41.2,32.1,2.17,10.51,2.6,12.09
10 feb,41.2,32.1,2.36,10.75,2.91,12.4
11 feb,41.2,32.1,2.6,10.98,3.19,12.72
12 feb,41.3,32.1,2.83,11.22,3.5,12.99
13 feb,41.3,32.1,3.07,11.46,3.7,13.19
14 feb,41.3,32.1,3.31,11.65,4.02,13.5
15 feb,41.3,32.1,3.5,11.89,4.29,13.82
16 feb,41.3,32.1,3.74,12.13,4.61,14.09
17 feb,41.4,32.1,3.98,12.36,4.88,14.41
18 feb,41.4,32.1,4.21,12.6,5.2,14.69
19 feb,41.4,32,4.41,12.8,5.51,15
20 feb,41.4,32,4.65,13.03,5.79,15.31
21 feb,41.4,32,4.88,13.27,5.98,15.51
22 feb,41.5,32,5.08,13.46,6.3,15.79
23 feb,41.5,32,5.31,13.7,6.61,16.1
24 feb,41.5,32,5.55,13.94,6.89,16.42
25 feb,41.5,32,5.79,14.17,7.2,16.69
26 feb,41.6,32,6.02,14.41,7.4,16.89
27 feb,41.6,32,6.26,14.65,7.72,17.2
28 feb,41.6,32.1,6.5,14.88,7.99,17.52
1 mar,41.7,32.1,0.24,15.12,0.31,17.8
2 mar,41.7,32.1,0.47,15.31,0.51,17.99
3 mar,41.8,32.1,0.71,15.55,0.79,18.31
4 mar,41.8,32.1,0.91,15.79,0.98,18.5
5 mar,41.9,32.2,1.14,16.02,1.3,18.82
6 mar,41.9,32.2,1.38,16.22,1.5,19.02
7 mar,42,32.2,1.57,16.46,1.69,19.21
8 mar,42.1,32.3,1.77,16.65,1.89,19.41
9 mar,42.1,32.3,1.97,16.85,2.01,19.49
10 mar,42.2,32.3,2.2,17.05,2.2,19.69
11 mar,42.3,32.4,2.4,17.28,2.28,19.8
12 mar,42.4,32.5,2.6,17.48,2.52,20
13 mar,42.5,32.5,2.8,17.68,2.6,20.12
14 mar,42.6,32.6,2.99,17.87,2.8,20.31
15 mar,42.7,32.7,3.23,18.07,2.99,20.51
16 mar,42.9,32.7,3.43,18.27,3.11,20.59
17 mar,43,32.8,3.62,18.46,3.31,20.79
18 mar,43.1,32.9,3.82,18.66,3.39,20.91
19 mar,43.3,33,4.02,18.86,3.58,21.1
20 mar,43.4,33.1,4.21,19.06,3.7,21.18
21 mar,43.6,33.2,4.41,19.25,3.9,21.42
22 mar,43.7,33.3,4.61,19.45,4.02,21.5
23 mar,43.9,33.4,4.76,19.65,4.09,21.61
24 mar,44.1,33.5,4.96,19.84,4.21,21.69
25 mar,44.2,33.6,5.16,20,4.29,21.81
26 mar,44.4,33.7,5.31,20.2,4.41,21.89
27 mar,44.6,33.8,5.47,20.35,4.49,22.01
28 mar,44.8,34,5.63,20.51,4.61,22.09
29 mar,45,34.1,5.83,20.67,4.69,22.2
30 mar,45.2,34.2,5.98,20.87,4.8,22.28
31 mar,45.3,34.3,6.14,21.02,4.88,22.4
1 apr,45.5,34.5,0.16,21.18,0.12,22.52
2 apr,45.7,34.6,0.31,21.34,0.12,22.52
3 apr,45.9,34.8,0.47,21.5,0.2,22.6
4 apr,46.1,34.9,0.63,21.65,0.31,22.72
5 apr,46.3,35.1,0.83,21.81,0.31,22.72
6 apr,46.5,35.2,0.98,22.01,0.39,22.8
7 apr,46.7,35.4,1.14,22.17,0.39,22.8
8 apr,46.9,35.5,1.3,22.32,0.51,22.91
9 apr,47.1,35.7,1.46,22.48,0.51,22.91
10 apr,47.3,35.8,1.61,22.64,0.59,22.99
11 apr,47.5,36,1.77,22.8,0.59,22.99
12 apr,47.7,36.2,1.93,22.95,0.59,22.99
13 apr,47.8,36.3,2.05,23.07,0.71,23.11
14 apr,48,36.5,2.2,23.23,0.71,23.11
15 apr,48.2,36.7,2.32,23.35,0.71,23.11
16 apr,48.4,36.8,2.48,23.5,0.71,23.11
17 apr,48.5,37,2.6,23.62,0.79,23.19
18 apr,48.7,37.2,2.76,23.78,0.79,23.19
19 apr,48.9,37.3,2.87,23.9,0.79,23.19
20 apr,49.1,37.5,2.99,24.02,0.79,23.19
21 apr,49.2,37.7,3.15,24.17,0.79,23.19
22 apr,49.4,37.9,3.27,24.29,0.79,23.19
23 apr,49.5,38.1,3.43,24.45,0.91,23.31
24 apr,49.7,38.2,3.54,24.57,0.91,23.31
25 apr,49.8,38.4,3.7,24.72,0.91,23.31
26 apr,50,38.6,3.82,24.84,0.91,23.31
27 apr,50.1,38.8,3.98,24.96,0.91,23.31
28 apr,50.3,39,4.09,25.12,0.91,23.31
29 apr,50.4,39.1,4.21,25.24,0.91,23.31
30 apr,50.6,39.3,4.33,25.35,0.91,23.31
1 may,50.7,39.5,0.16,25.51,0,23.31
2 may,50.9,39.7,0.28,25.63,0,23.31
3 may,51,39.9,0.39,25.79,0,23.31
4 may,51.2,40.1,0.55,25.91,0,23.31
5 may,51.3,40.3,0.67,26.06,0,23.31
6 may,51.5,40.5,0.83,26.18,0,23.31
7 may,51.6,40.7,0.94,26.3,0,23.31
8 may,51.8,40.9,1.06,26.46,0,23.31
9 may,51.9,41,1.22,26.57,0,23.31
10 may,52.1,41.2,1.38,26.73,0,23.31
11 may,52.2,41.4,1.5,26.89,0,23.31
12 may,52.4,41.6,1.65,27.01,0,23.31
13 may,52.5,41.8,1.81,27.17,0,23.31
14 may,52.7,42,1.97,27.32,0,23.31
15 may,52.9,42.2,2.09,27.44,0,23.31
16 may,53,42.4,2.24,27.6,0,23.31
17 may,53.2,42.6,2.36,27.76,0,23.31
18 may,53.4,42.8,2.52,27.91,0,23.31
19 may,53.5,43,2.68,28.03,0,23.31
20 may,53.7,43.2,2.8,28.19,0,23.31
21 may,53.9,43.4,2.95,28.31,0,23.31
22 may,54.1,43.6,3.07,28.46,0,23.31
23 may,54.2,43.8,3.23,28.58,0,23.31
24 may,54.4,43.9,3.35,28.74,0,23.31
25 may,54.6,44.1,3.46,28.86,0,23.31
26 may,54.8,44.3,3.62,28.98,0,23.31
27 may,55,44.5,3.74,29.09,0,23.31
28 may,55.1,44.7,3.86,29.21,0,23.31
29 may,55.3,44.9,3.98,29.33,0,23.31
30 may,55.5,45.1,4.09,29.49,0,23.31
31 may,55.7,45.2,4.21,29.61,0,23.31
1 jun,55.8,45.4,0.12,29.72,0,23.31
2 jun,56,45.6,0.24,29.8,0,23.31
3 jun,56.2,45.8,0.31,29.92,0,23.31
4 jun,56.3,46,0.43,30.04,0,23.31
5 jun,56.5,46.1,0.55,30.16,0,23.31
6 jun,56.7,46.3,0.67,30.24,0,23.31
7 jun,56.8,46.5,0.75,30.35,0,23.31
8 jun,57,46.6,0.87,30.43,0,23.31
9 jun,57.1,46.8,0.94,30.55,0,23.31
10 jun,57.3,47,1.02,30.63,0,23.31
11 jun,57.4,47.1,1.1,30.71,0,23.31
12 jun,57.5,47.3,1.22,30.83,0,23.31
13 jun,57.7,47.4,1.3,30.91,0,23.31
14 jun,57.8,47.6,1.42,30.98,0,23.31
15 jun,57.9,47.8,1.5,31.1,0,23.31
16 jun,58,47.9,1.57,31.18,0,23.31
17 jun,58.1,48.1,1.65,31.26,0,23.31
18 jun,58.2,48.2,1.73,31.34,0,23.31
19 jun,58.3,48.4,1.85,31.46,0,23.31
20 jun,58.4,48.5,1.93,31.54,0,23.31
21 jun,58.5,48.7,2.01,31.61,0,23.31
22 jun,58.6,48.8,2.13,31.69,0,23.31
23 jun,58.7,49,2.2,31.81,0,23.31
24 jun,58.8,49.1,2.28,31.89,0,23.31
25 jun,58.9,49.3,2.4,32.01,0,23.31
26 jun,58.9,49.4,2.48,32.09,0,23.31
27 jun,59,49.6,2.6,32.2,0,23.31
28 jun,59.1,49.7,2.68,32.28,0,23.31
29 jun,59.2,49.9,2.8,32.4,0,23.31
30 jun,59.2,50,2.87,32.48,0,23.31
1 jul,59.3,50.2,0.12,32.6,0,23.31
2 jul,59.4,50.3,0.24,32.72,0,23.31
3 jul,59.4,50.5,0.31,32.83,0,23.31
4 jul,59.5,50.6,0.43,32.91,0,23.31
5 jul,59.5,50.7,0.55,33.03,0,23.31
6 jul,59.6,50.9,0.67,33.15,0,23.31
7 jul,59.7,51,0.79,33.27,0,23.31
8 jul,59.7,51.2,0.91,33.39,0,23.31
9 jul,59.8,51.3,1.02,33.5,0,23.31
10 jul,59.9,51.4,1.14,33.62,0,23.31
11 jul,60,51.5,1.26,33.74,0,23.31
12 jul,60,51.7,1.38,33.86,0,23.31
13 jul,60.1,51.8,1.5,34.02,0,23.31
14 jul,60.2,51.9,1.65,34.13,0,23.31
15 jul,60.3,52,1.77,34.25,0,23.31
16 jul,60.3,52.2,1.93,34.41,0,23.31
17 jul,60.4,52.3,2.05,34.53,0,23.31
18 jul,60.5,52.4,2.17,34.69,0,23.31
19 jul,60.6,52.5,2.32,34.8,0,23.31
20 jul,60.7,52.6,2.44,34.96,0,23.31
21 jul,60.8,52.7,2.6,35.12,0,23.31
22 jul,60.9,52.8,2.76,35.24,0,23.31
23 jul,61,52.8,2.91,35.39,0,23.31
24 jul,61,52.9,3.07,35.55,0,23.31
25 jul,61.1,53,3.23,35.71,0,23.31
26 jul,61.2,53,3.35,35.87,0,23.31
27 jul,61.3,53.1,3.5,35.98,0,23.31
28 jul,61.4,53.2,3.66,36.14,0,23.31
29 jul,61.5,53.2,3.82,36.3,0,23.31
30 jul,61.6,53.2,3.98,36.46,0,23.31
31 jul,61.7,53.3,4.13,36.61,0,23.31
1 aug,61.7,53.3,0.16,36.77,0,23.31
2 aug,61.8,53.3,0.31,36.93,0,23.31
3 aug,61.9,53.3,0.47,37.09,0,23.31
4 aug,62,53.3,0.63,37.24,0,23.31
5 aug,62,53.3,0.79,37.4,0,23.31
6 aug,62.1,53.3,0.98,37.6,0,23.31
7 aug,62.1,53.3,1.14,37.76,0,23.31
8 aug,62.2,53.2,1.34,37.95,0,23.31
9 aug,62.2,53.2,1.54,38.15,0,23.31
10 aug,62.2,53.2,1.69,38.31,0,23.31
11 aug,62.3,53.1,1.89,38.5,0,23.31
12 aug,62.3,53,2.09,38.7,0,23.31
13 aug,62.3,53,2.28,38.9,0,23.31
14 aug,62.3,52.9,2.52,39.09,0,23.31
15 aug,62.3,52.8,2.72,39.33,0,23.31
16 aug,62.2,52.7,2.91,39.53,0,23.31
17 aug,62.2,52.6,3.15,39.76,0,23.31
18 aug,62.2,52.6,3.39,40,0,23.31
19 aug,62.1,52.4,3.62,40.24,0,23.31
